Dgraph Name,Reason 1,Reason 2,Reason 3,Reason 4,New Name,Comment
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A-UC1_ActivePower.Watt.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A-UC1_ActivePower.Watt.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A-UC1_QA1BreakerStatus.Pos.stVal,Auxiliary Power System -> AuxiliarySystem,Ind instead of Pos,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A-UC1_QA1BreakerStatus.Ind.stVal,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.A.phsA.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.A.phsA.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.A.phsB.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.A.phsB.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.A.phsC.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.A.phsC.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.PPV.phsAB.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.PPV.phsAB.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.PPV.phsBC.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.PPV.phsBC.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.PPV.phsCA.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.PPV.phsCA.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B-UC2_ActivePower.Watt.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B-UC2_ActivePower.Watt.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B-UC2_QA1BreakerStatus.Pos.stVal,Auxiliary Power System -> AuxiliarySystem,Ind instead of Pos,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B-UC2_QA1BreakerStatus.Ind.stVal,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.A.phsA.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.A.phsA.cVal.mag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501B.A.phsB.cVal.mag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501B.A.phsB.cVal.mag,
