Dgraph Name,New Name
DBA.WTUR.P26KD.WROT.BlPthHyPres.mag,DBA.WTUR.StringK.P26KD.WROT.BlPthHyPres.mag
DBA.WTUR.H02JB.WTUR.CtlBrkProcedureAlmSt.stVal,DBA.WTUR.StringJ.H02JB.WTUR.CtlBrkProcedureAlmSt.stVal
DBA.WTUR.E01MD.WGEN.RsCmdSCADAHMI.stVal,DBA.WTUR.StringM.E01MD.WGEN.RsCmdSCADAHMI.stVal
DBA.WTUR.P26KD.WAVL.IaongenTms.tmsVal.stVal,DBA.WTUR.StringK.P26KD.WAVL.IaongenTms.tmsVal.stVal
DBA.WTUR.F01LA.WAVL.IaogfpTms.tmsVal.stVal,DBA.WTUR.StringL.F01LA.WAVL.IaogfpTms.tmsVal.stVal
DBA.WTUR.G01LB.WCNV.RotSpd.mag,DBA.WTUR.StringL.G01LB.WCNV.RotSpd.mag
DBA.WTUR.P13GB.WGEN.TurSupSvcTrf.stVal,DBA.WTUR.StringG.P13GB.WGEN.TurSupSvcTrf.stVal
DBA.OSP.SAS.System 85.P-85ER001B-U96B.HSI.X_Value,DBA.OSP.SAS.System85.P-85ER001B-U96B.X.Value
DBA.WTUR.J01JC.WGEN.SttTmp8.mag,DBA.WTUR.StringJ.J01JC.WGEN.SttTmp8.mag
DBA.WTUR.P53CD.WAVL.IaongelTms.tmsVal.stVal,DBA.WTUR.StringC.P53CD.WAVL.IaongelTms.tmsVal.stVal
DBA.WTUR.C03PB.WTRF.C03PB_Hydran.Alm2RelaySt.stVal,DBA.WTUR.StringP.C03PB.WTRF.Hydran.Alm2RelaySt.stVal
DBA.WTUR.P04EC.WGEN.SttTmp1.mag,DBA.WTUR.StringE.P04EC.WGEN.SttTmp1.mag
DBA.WTUR.StringP.C03PB.WNAC.NacSt.stVal,DBA.WTUR.StringP.C03PB.WNAC.NacelleSt.st.stVal
DBA.WTUR.P55CF.WGEN.TurManStopSt.stVal,DBA.WTUR.StringC.P55CF.WGEN.TurManStopSt.stVal
DBA.OSP.WFO.66kV.M-80EH511-Q17.MAIN_PROT.Str.phsB,DBA.OSP.WFO.66kV.M-80EH511-Q17.REL650.MAIN_PROT.Str.phsB
DBA.WTUR.P13GB.WTUR.TurConditionSCADANamOn.stVal,DBA.WTUR.StringG.P13GB.WTUR.TurConditionSCADANamOn.st.stVal
DBA.WTUR.StringC.A08CC.WTUR.Lev1OpModSt.stVal,DBA.WTUR.StringC.A08CC.WTUR.Lev1OpModSt.st.stVal
DBA.WTUR.P45RD.WGEN.GnMagnetTmpHiHiAlm.stVal,DBA.WTUR.StringR.P45RD.WGEN.GnMagnetTmpHiHiAlm.stVal
DBA.WTUR.P43RF.WMET.EnvHum.mag,DBA.WTUR.StringR.P43RF.WMET.EnvHum.mag
DBA.WTUR.StringP.C03PB.WMET.HorWdSpd2.mag,DBA.WTUR.StringP.C03PB.WMET.WdSpd2.mag
DBA.OSP.OFTO.HVAC.66kV.Q22.MSM_BH92.EEHealth.stVal,DBA.OSP.OFTO.HVAC.66kV.P-80EH511-Q22.MSM_BH92.EEHealth.stVal
DBA.WTUR.P50BD.WTRF.P50BD_Hydran.H2OHi.stVal,DBA.WTUR.StringB.P50BD.WTRF.Hydran.H2OHi.stVal
DBA.WTUR.P19HD.WTUR.GriCutNoOk.stVal,DBA.WTUR.StringH.P19HD.WTUR.GriCutNoOk.stVal
DBA.OSP.SAS.System70.P-47ER001B-Q08.BY_,DBA.OSP.SAS.System70.P-47ER001B-Q08.BY
DBA.WTUR.P44RE.WTRF.P44RE_Hydran.H2OppmHi.stVal,DBA.WTUR.StringR.P44RE.WTRF.Hydran.H2OppmHi.stVal
DBA.OSP.SAS.System85.P-85ER002A-U75H.HSI.X_Value,DBA.OSP.SAS.System85.P-85ER002A-U75H.X.Value
DBA.OSP.SAS.System83.P-83EG001-U75N.HSI.X_Value,DBA.OSP.SAS.System83.P-83EG001-U75N.HSI.X.Value
DBA.OSP.SAS.System82.P-82EL100A-A07FFA01-LSL.LSL.Trip_order,DBA.OSP.SAS.System82.P-82EL100A-A07FFA01-MCCB-IB.LSL.Trip_order
DBA.OSP.OFTO.HVAC.66kV.Q08.MSM_BH92.InsAlmTmh.stVal,DBA.OSP.OFTO.HVAC.66kV.P-80EH510-Q08.MSM_BH92.InsAlmTmh.stVal
DBA.WTUR.A06AB.WTUR.SafStopSt.stVal,DBA.WTUR.StringA.A06AB.WTUR.SafStopSt.stVal
DBA.WTUR.D06CA.WGEN.VFD3NoAvlSt.stVal,DBA.WTUR.StringC.D06CA.WGEN.VFD3NoAvlSt.stVal
DBA.WTUR.P34NE.WGEN.DewPtVal.mag,DBA.WTUR.StringN.P34NE.WGEN.DewPtVal.mag
DBA.WTUR.P56DD.WGEN.WndTmpHiHiFastExceedanceAlm.stVal,DBA.WTUR.StringD.P56DD.WGEN.WndTmpHiHiFastExceedanceAlm.stVal
DBA.WTUR.P34NE.WGEN.GnMagnetTmpHiWrn.stVal,DBA.WTUR.StringN.P34NE.WGEN.GnMagnetTmpHiWrn.stVal
DBA.WTUR.P17GF.WROT.BlPthMotPos2.mag,DBA.WTUR.StringG.P17GF.WROT.BlPthMotPos2.mag
DBA.WTUR.P24KF.WGEN.GnMagnetTmpHiWrn.stVal,DBA.WTUR.StringK.P24KF.WGEN.GnMagnetTmpHiWrn.stVal
DBA.WTUR.P12FF.WTUR.TurStSCADAM6eWebHMI.stVal,DBA.WTUR.StringF.P12FF.WTUR.TurStSCADAM6eWebHMI.st.stVal
DBA.WTUR.P43RF.WTRF.P43RF_Hydran.SysOkRelaySt.stVal,DBA.WTUR.StringR.P43RF.WTRF.Hydran.SysOkRelaySt.stVal
DBA.WTUR.P04EC.WGEN.VFD1AvlSt.stVal,DBA.WTUR.StringE.P04EC.WGEN.VFD1AvlSt.stVal
DBA.WTUR.A08CC.WTUR.PwrVOkSt.stVal,DBA.WTUR.StringC.A08CC.WTUR.PwrVOkSt.stVal
DBA.WTUR.E02MC.WTRF.E02MC_Hydran.BatLevLo.stVal,DBA.WTUR.StringM.E02MC.WTRF.Hydran.BatLevLo.stVal
DBA.WTUR.P10FD.WGEN.LubPrecPresAchievementFltNum.actVal,DBA.WTUR.StringF.P10FD.WGEN.LubPrecPresAchievementFltNum.actVal
DBA.WTUR.P02EE.WTRF.P02EE_Hydran.BatLev.mag,DBA.WTUR.StringE.P02EE.WTRF.Hydran.BatLev.mag
DBA.WTUR.StringC.D06CA.WTUR.TurStSCADAM6eWebHMINamOn.stVal,DBA.WTUR.StringC.D06CA.WTUR.TurStSCADAM6eWebHMINamOn.st.stVal
DBA.WTUR.P27KC.WAVL.IaogppIntTms.tmsVal.stVal,DBA.WTUR.StringK.P27KC.WAVL.IaogppIntTms.tmsVal.stVal
