Dgraph Name,New Name,createdTimeNewTag
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_SevereFault.Wrn.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Severefault.Wrn.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.T2AXC1A1_SevereFault.Wrn.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Severefault.Wrn.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.T2AXC1A1_StandbyState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_StandbyState.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.T2AXC1A1_Temperature.TmpSv.instMag,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Temperature.TmpSv.instMag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_ActiveState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Activestate.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.T2AXC1B1_ActiveState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Activestate.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_EmergencyFault.Alm.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Emergencyfault.Alm.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.T2AXC1B1_EmergencyFault.Alm.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Emergencyfault.Alm.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_MinorFault.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Minorfault.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.T2AXC1B1_MinorFault.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Minorfault.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_OffState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Offstate.Ind.stVal,2024-03-01 23:59:59.999999
