old_tep_id,new_tep_id
ae787dac-88ec-4faa-b873-d4d10791a2be,3c3dad54-c286-43a8-a2eb-8d782d3322c7
c595ac5d-3200-4725-8fb4-1c56e0326cda,842c2761-95cb-44cb-981c-f32428f17d7a
c3288707-c626-4307-a8b2-35ef72856db3,c7832caa-648c-4fde-9947-37d35c6c7a43
63d7962d-01ef-4f5b-a395-050d4dac2dfb,0275bee8-c2c3-4f29-8a8a-1e5a03ac55d8
723d066d-f7fc-496a-b751-62418071e186,638f745b-0340-44fb-9a31-0c73ae6c3dfb
a4766c42-d22b-4e4d-b244-8f15e1acbbe2,e39df4e0-6da6-4075-a4cb-591e9769d32f
a2d6ab76-2b44-4c61-bb6f-013dd52019bc,ba8ecb21-bc59-4c7f-b388-a6dbad54d754
64f1b6a0-50f3-4f7a-9e8a-2689043de1d7,ba8ecb21-bc59-4c7f-b388-a6dbad54d754
c539c85a-d5c8-4fef-88c7-2f784bcaa261,72a4f0a7-0b6a-446a-bec0-359dcec89d8b
43733607-1427-445a-ba1f-df070a8387d8,72a4f0a7-0b6a-446a-bec0-359dcec89d8b
4c6351b3-a22e-4000-966b-d5d789bc6337,1c0cc122-1d9d-4778-bcf3-81ff58ae9871
a9e60011-976c-4f0b-a667-14bf0c519651,1c0cc122-1d9d-4778-bcf3-81ff58ae9871
11b7e3e7-ae40-440d-ad54-7ceb3078e262,3d622ff3-d9e2-4fbf-834a-6f30612744d5
59157bc9-c852-449e-8921-3aabb56b2864,3d622ff3-d9e2-4fbf-834a-6f30612744d5
db1d767f-bf10-4fce-83b5-0b993df4ce74,4b7b9e43-f52e-472d-b532-b498265c240a
3cdb4c67-636b-4379-8b95-4c7ed4e8bcb5,4b7b9e43-f52e-472d-b532-b498265c240a
9a469ef6-1e2c-4c92-acfb-c53bda6d9899,f7f9466a-9dce-466b-8f3d-eab3f031075e
a07a3bf4-e7d6-4d71-93f0-3aefd571d845,d5a42a37-5813-4b68-9c74-30111273b85e
6b171155-29f0-45ed-b90f-a1e0cbc00bbe,d7c274d7-625a-4cdd-8ce1-8fbf3766e5ed
e076b5a4-fc21-424d-93d0-e25c2418ba47,d7c274d7-625a-4cdd-8ce1-8fbf3766e5ed
efae559e-5452-4c25-9c6c-623c08f2f83c,baa6cfe5-2026-400b-a5cd-5ea26b43e35f
dc7f0bfe-083b-49c1-bc7f-18ad6540aaa4,baa6cfe5-2026-400b-a5cd-5ea26b43e35f
76762791-449a-4c3b-80b8-4e6b9cd8d293,c9240e43-ca7b-4b71-9e46-49747c4397f1
b4691f1a-d045-4a14-ba2f-6a55d190eb4e,c9240e43-ca7b-4b71-9e46-49747c4397f1
9ccd240c-e91d-4a7f-b77c-534d814aca81,dbe23f35-ed95-43b7-b467-f5600d21f6e0
fa68f370-f0d1-47b4-bb5a-828b08a4cddc,dbe23f35-ed95-43b7-b467-f5600d21f6e0
0c796a0a-104a-471d-9cbe-1348705f9b4b,60c70ea4-4b5e-4e47-942a-5fd9fd8b1c2e
3f15f1b6-c639-4855-abc3-d916d2fa1092,60c70ea4-4b5e-4e47-942a-5fd9fd8b1c2e
24605d77-4cab-46af-8b45-f54395fa69d1,886c239a-8d50-4a2f-af08-6a1e11a3bdec
7ce6722f-3353-4cb2-9a09-fc5761a334a6,aba6d144-0e86-4c78-9a43-74462c546682
70ac3c58-0f63-434a-86af-e3f8c3238b41,3cab6f68-832f-4293-acd3-8cc241d1869d
d5a39132-a896-49c9-83ad-fe37e802ac8e,f268883d-d338-4b73-9ac1-c7c3f8be8d7a
fdfbd813-da96-4ff1-bec5-fd31ec57bd8b,529b8472-1c85-42ad-937e-ddf77a4aa37a
fa55cbe0-b870-4072-b544-52a65edbb84e,54163fb2-1725-47d7-a693-7c6acf8eca47
55f58e47-b030-4e79-9b0c-3cd6f1b50fd3,a226a002-e9e6-4624-b5a1-cbe6c0722203
ed9326c8-7044-410e-b0e6-2a76873c2cd5,6e70920e-b93b-4648-a705-5cd293228a91
ca63b040-3bb3-49bd-8039-a44fcb5fe83f,4f0a074d-1ddd-4c69-842b-ea3c7406da65
9e218e82-85da-4076-a446-ff8c4d36ddfb,6dfd594f-93b1-4eda-8651-09a0b368944c
522fe240-28ad-4dd3-bbf7-9703c1ce86b0,353857b8-e4ff-4e37-9138-047c8f9ccd51
990372ca-cb3a-4ce4-aecf-c54ed8af3b31,026622ce-71b5-4914-952c-ace75cbb54ba
f841b576-9cdd-4eb5-9fd9-a1721c36c8fb,7001b82f-5b7f-4cf2-a170-4882dd734f1d
91d0f0c1-7eed-4794-8b07-070f588404dc,e014f59b-25d1-4310-a959-066ea5ab0ee6
8975099e-6429-4c75-a0e7-bc668755cfb9,1a964ca8-305c-4cff-990f-ce43fc42731a
05ba8e26-d457-4f54-aa01-e84b8d9c109f,3c128c20-52ba-4f13-a8a9-710654777419
6941c881-4a7e-465a-b335-18f79dbb23af,e15b21eb-0b5b-4915-b450-190070cf9edd
bead3a9a-0458-4591-9c05-6fe8a0a45cac,1f55a6e2-d8b4-4120-b941-e457dbafd475
223da94a-e642-4d4b-b72c-52567ee5912a,0bed7c12-5d3e-44cc-baa9-f8fc0cf8a7c8
149d52da-7c7c-407c-bf8b-9c4feb8a58ab,697a30f0-98a4-474e-a180-123ee2de83b3
bf11c0ef-41b6-45db-a45e-d8d300af45f4,c07685ee-8db8-4d1f-9dfa-a45bf5ae4ad7
a4ad7f62-76c2-4a70-b3d9-4aa5e102724a,fbba256c-1f0b-4398-8daa-e1e896c3abce
5b61c7a2-41c0-4ae0-bbd3-115b9dd8d448,60cba1ab-e84a-4847-9d74-b4d50ce41e87
bb421353-6eba-4cea-bafe-b4c17af73d64,00d6be7f-f698-40fd-b9cd-6fc39759deb5
06c963aa-3fc8-4897-88fa-d041ee8a312c,2f29c3f9-4f76-48b7-9a8e-74837e2c15d1
619e8b81-92d0-4b82-a76b-99fee8757182,4508a531-80c6-4455-ae61-cbdfd58636cf
96043ace-8635-49a2-9e09-98027e3f2e0c,b54eb7b2-2c95-4e22-9cae-140055d27c9b
1f589a7c-62e8-47a2-9c83-780b79802f56,12b12be6-3c60-4c59-b639-304d0cacc31f
6d43d4ed-07c4-49a7-bbdc-a732ad589bb8,e8b30e24-728f-48eb-9436-27da5cd700f2
18ef2392-d000-41e1-8891-1a9b1669a0bd,77627aa5-c7f2-4af7-92c7-d29e9a32f142
752bb53e-973e-4ef3-aa07-21a5c19678e7,040d4692-5800-4591-956f-053b8fecbaa9
daaf90de-9fe9-41e2-a317-cd40988e3d2b,3e1b0266-bcfc-4ea9-b900-b327bbfaa7b1
535d01d9-32db-4e74-965b-5f19e37577f9,31b0c2e0-4d99-4689-8ae1-c07d12dc625a
5c4fa2bf-f325-44f6-834e-377530a20988,69e855da-7188-4a38-9c31-2221dc7655e5
6f950124-2436-457b-9f58-b804247f8a46,99845ce5-22b3-4699-ba0e-d69663978579
83818219-c5a7-4ce4-8d24-6e651acfb6d7,c5a58b2d-f546-47ac-bb9f-e89232a4b946
5d778bd5-18d5-49f3-8cb8-9938921e28e2,33669965-fc73-4bbc-ae51-421bd9af838d
987667ce-c6de-48b0-a242-3d9587e2c815,5835c351-2733-4f09-8cd6-3b0b5ce9c915
